expocode,cruise,station,region,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,fco2,fco2f,fco2temp,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,sf6qc,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf,doi,second,datetime
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,16.0,825.0,818.0,3.225,3.169,34.264,2,1,27.282,31.907,36.428,40.847,45.166,27.4716651427725,230.67,2,1,92.313,2,31.0,2,1,,9,33.3,2,1,2.17,2,1,2182.0,2,1,2298.0,2,1,916.1,0,20.0,7.6619,0,7.9517,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.22,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,17.0,901.0,893.0,2.982,2.922,34.275,2,1,27.313,31.945,36.472,40.898,45.223,27.5098068490541,226.71,2,1,98.211,2,31.7,2,1,,9,37.4,2,1,2.23,2,1,2187.0,2,1,2298.0,2,1,949.12,0,20.0,7.6482,0,7.9376,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.1,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,18.0,998.0,989.0,2.861,2.7946,34.327,2,1,27.366,32.001,36.531,40.959,45.287,27.5664852550255,213.84,2,1,111.97,2,32.6,2,1,,9,44.5,2,1,2.29,2,1,2204.0,2,1,2306.0,2,1,1017.8,0,20.0,7.6224,0,7.9075,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.06,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,19.0,1107.0,1097.0,2.765,2.6911,34.386,2,1,27.422,32.059,36.592,41.022,45.352,27.6278294531479,201.96,2,1,124.54,2,33.3,2,1,,9,51.7,2,1,2.33,2,1,2209.0,2,1,2310.0,2,1,1029.9,0,20.0,7.6184,0,7.9003,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,0.11,2,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,20.0,1212.0,1201.0,2.657,2.5761,34.417,2,1,27.457,32.097,36.632,41.066,45.398,27.6691969808663,198.0,2,1,129.35,2,33.4,2,1,,9,55.1,2,1,2.35,2,1,2229.0,2,1,2318.0,2,1,1127.9,0,20.0,7.5845,0,7.8603,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,21.0,1310.0,1297.0,2.605,2.517,34.456,2,1,27.494,32.135,36.671,41.106,45.439,27.7101165696388,192.06,2,1,135.68,2,33.5,2,1,,9,57.6,2,1,2.37,2,1,2222.0,2,1,2320.0,2,1,1060.8,0,20.0,7.6085,0,7.8838,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,22.0,1416.0,1402.0,2.554,2.4581,34.514,2,1,27.545,32.187,36.725,41.16,45.495,27.7651890171802,189.09,2,1,138.98,2,33.9,2,1,,9,64.5,2,1,2.36,2,1,2232.0,2,1,2329.0,2,1,1076.0,0,20.0,7.6043,0,7.8758,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,23.0,1520.0,1504.0,2.595,2.4902,34.563,2,1,27.581,32.222,36.759,41.193,45.527,27.7994490539459,182.16,2,1,145.53,2,33.1,2,1,,9,68.4,2,1,2.35,2,1,2230.0,2,1,2330.0,2,1,1055.8,0,20.0,7.6117,0,7.8792,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,9.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,24.0,1629.0,1612.0,2.603,2.4891,34.613,2,1,27.621,32.262,36.798,41.232,45.565,27.8372877624133,181.17,2,1,146.4,2,32.5,2,1,,9,70.3,2,1,2.29,2,1,2242.0,2,1,2335.0,2,1,1113.1,0,20.0,7.592,0,7.8529,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,2.0,1644.0,1627.0,2.584,2.4691,34.619,2,1,27.628,32.269,36.806,41.24,45.574,27.8441740381674,181.17,2,1,146.55,2,32.6,2,1,,9,68.8,2,1,2.28,2,1,2244.0,2,1,2335.0,2,1,1128.9,0,20.0,7.5865,0,7.8465,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,3.0,1849.0,1829.0,2.746,2.6113,34.702,2,1,27.682,32.319,36.851,41.281,45.61,27.8869873811328,190.08,2,1,136.28,2,30.6,2,1,,9,63.0,2,1,2.11,2,1,2228.0,2,1,2332.0,2,1,1029.1,0,20.0,7.6217,0,7.8747,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,4.0,2073.0,2049.0,2.953,2.795,34.791,2,1,27.737,32.368,36.894,41.319,45.643,27.9269949616252,207.9,2,1,116.76,2,27.4,2,1,,9,52.7,2,1,1.89,2,1,2211.0,2,1,2334.0,2,1,905.59,0,20.0,7.6711,0,7.9169,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,5.0,2175.0,2149.0,2.73,2.5662,34.772,2,1,27.742,32.379,36.912,41.343,45.673,27.9440426919464,203.94,2,1,122.61,2,28.4,2,1,,9,61.3,2,1,1.98,2,1,2219.0,2,1,2331.0,2,1,974.14,0,20.0,7.6426,0,7.8849,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,6.0,2361.0,2332.0,2.81,2.6273,34.828,2,1,27.781,32.416,36.947,41.376,45.704,27.9765578066175,217.8,2,1,108.12,2,25.9,2,1,,9,52.9,2,1,1.81,2,1,2212.0,2,1,2336.0,2,1,901.1,0,20.0,7.6733,0,7.91,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,7.0,2533.0,2501.0,2.835,2.6352,34.863,2,1,27.809,32.443,36.973,41.401,45.729,28.0009435541643,228.69,2,1,97.076,2,23.9,2,1,,9,45.6,2,1,1.65,2,1,2191.0,2,1,2331.0,2,1,808.49,0,20.0,7.7139,0,7.9469,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,8.0,2686.0,2651.0,2.752,2.5387,34.868,2,1,27.821,32.458,36.991,41.422,45.752,28.0183436762843,232.65,2,1,93.882,2,23.9,2,1,,9,46.3,2,1,1.65,2,1,2193.0,2,1,2331.0,2,1,819.08,0,20.0,7.7089,0,7.9367,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,9.0,2869.0,2830.0,2.459,2.2336,34.834,2,1,27.82,32.465,37.007,41.445,45.783,28.0385334053295,222.75,2,1,106.35,2,25.7,2,1,,9,58.1,2,1,1.78,2,1,2206.0,2,1,2335.0,2,1,871.82,0,20.0,7.6857,0,7.9087,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,10.0,2972.0,2931.0,2.403,2.1684,34.837,2,1,27.828,32.475,37.018,41.458,45.798,28.0501814509771,226.71,2,1,102.92,2,25.5,2,1,,9,58.2,2,1,1.76,2,1,2216.0,2,1,2341.0,2,1,898.51,0,20.0,7.6752,0,7.894,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,11.0,3127.0,3083.0,2.192,1.9465,34.817,2,1,27.829,32.483,37.032,41.479,45.824,28.068785206216,221.76,2,1,109.75,2,25.1,2,1,,9,66.7,2,1,1.83,2,1,2209.0,2,1,2338.0,2,1,874.32,0,20.0,7.6851,0,7.9019,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,12.0,3279.0,3232.0,1.939,1.684,34.794,2,1,27.831,32.493,37.049,41.503,45.855,28.0916195078395,218.79,2,1,114.97,2,26.5,2,1,,9,77.3,2,1,1.92,2,1,2231.0,2,1,2349.0,2,1,948.02,0,20.0,7.6559,0,7.8676,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,15.0,3493.0,3441.0,1.54,1.2731,34.752,2,1,27.828,32.501,37.069,41.534,45.897,28.1235974148955,209.88,2,1,127.48,2,29.7,2,1,,9,95.1,2,1,2.07,2,1,2240.0,2,1,2356.0,2,1,966.86,0,20.0,7.6495,0,7.858,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,16.0,3697.0,3640.0,1.191,0.91233,34.725,2,1,27.83,32.514,37.093,41.568,45.94,28.159215659272,207.9,2,1,132.64,2,31.3,2,1,,9,106.0,2,1,2.17,2,1,2252.0,2,1,2360.0,2,1,1024.0,0,20.0,7.628,0,7.8311,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,17.0,3996.0,3932.0,0.828,0.52837,34.702,2,1,27.836,32.531,37.121,41.606,45.989,28.2025639462545,211.86,2,1,132.12,2,31.9,2,1,,9,114.4,2,1,2.23,2,1,2248.0,2,1,2358.0,2,1,1009.8,0,20.0,7.6331,0,7.8301,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,18.0,4297.0,4225.0,0.508,0.18598,34.687,2,1,27.843,32.549,37.149,41.644,46.036,28.2474121849085,216.81,2,1,130.26,2,32.2,2,1,,9,121.1,2,1,2.26,2,1,2260.0,2,1,2362.0,2,1,1069.5,0,20.0,7.6116,0,7.7984,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,19.0,4550.0,4471.0,0.323,-0.020558,34.675,2,1,27.845,32.557,37.162,41.663,46.062,28.2743537437175,222.75,2,1,126.22,2,32.7,2,1,,9,122.7,2,1,2.29,2,1,2258.0,2,1,2365.0,2,1,1035.6,0,20.0,7.6246,0,7.8054,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,20.0,4745.0,4661.0,0.239,-0.12334,34.672,2,1,27.848,32.563,37.171,41.676,46.076,28.2905328986396,222.75,2,1,127.17,2,32.7,2,1,,9,125.6,2,1,2.29,2,1,2266.0,2,1,2366.0,2,1,1087.1,0,20.0,7.606,0,7.7776,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,21.0,4985.0,4894.0,0.221,-0.16783,34.67,2,1,27.849,32.565,37.175,41.68,46.082,28.2972430146788,223.74,2,1,126.59,2,32.7,2,1,,9,123.6,2,1,2.3,2,1,2256.0,2,1,2363.0,2,1,1034.4,0,20.0,7.6247,0,7.7892,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,64.0,1,7.0,1972,12,5,0.0,0.0,-39.058,-48.55,5457.0,5447.0,23.0,5291.0,5191.0,0.195,-0.22851,34.668,2,1,27.85,32.568,37.18,41.687,46.091,28.3071993673033,223.74,2,1,127.15,2,32.7,2,1,,9,124.9,2,1,2.3,2,1,2256.0,2,1,2365.0,2,1,1021.8,0,20.0,7.6297,0,7.7828,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-05 00:00:00
316N19720718,236,66.0,1,4.0,1972,12,8,0.0,0.0,-41.542,-50.95,5917.0,5907.0,2.0,40.0,40.0,17.45,17.443,35.77,2,1,26.0,30.308,34.521,38.642,42.675,26.0348472894433,238.59,2,1,-3.4004,2,0.0,2,1,,9,0.6,2,1,0.15,2,1,2037.0,2,1,2362.0,2,1,309.81,0,20.0,8.0675,0,8.1815,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,https://doi.org/10.3334/cdiac/otg.glodapv2_geosecs_atl                             ,0,1972-12-08 00:00:00
